community_id,size,genres_most_common,genres_top_percentage,categories_most_common,categories_top_percentage,type_most_common,type_top_percentage,developers_most_common,developers_top_percentage,publishers_most_common,publishers_top_percentage,tags_most_common,tags_top_percentage,supported_languages_most_common,supported_languages_top_percentage,controller_support_most_common,controller_support_top_percentage,coming_soon_most_common,coming_soon_top_percentage,required_age_mean,required_age_median,required_age_coverage,metacritic_score_mean,metacritic_score_median,metacritic_score_coverage,recommendations_total_mean,recommendations_total_median,recommendations_total_coverage,achievements_total_mean,achievements_total_median,achievements_total_coverage,dlc_count_mean,dlc_count_median,dlc_count_coverage,discount_percent_mean,discount_percent_median,discount_percent_coverage,release_year_mean,release_year_median,release_year_coverage,is_free_true_percentage,windows_true_percentage,mac_true_percentage,linux_true_percentage,has_dlc_true_percentage,average_price,median_price,price_coverage,community_name,community_description,price_skew,is_budget_friendly,platform_diversity,cross_platform_friendly,content_richness,high_quality
0,1184,Indie,73.75,Indie,73.75,game,100.0,HeR Interactive,1.44,HeR Interactive,1.45,Singleplayer,60.73,English,97.21,Full Xbox Controller Support,52.49,False,96.88,2.33,0.0,100.0,83.51,83.0,19.1,284.64,73.0,100.0,21.21,12.0,100.0,0.45,0.0,100.0,0.55,0.0,100.0,2018.33,2019.0,99.3,16.7,97.4,30.2,19.3,22.1,29.89,21.95,93.1,Indie Casual,Casual indie games with broad appeal,0.2656406736152334,False,3,True,2,True
1,1139,Indie,64.35,Indie,64.35,game,100.0,Daedalic Entertainment,2.61,Daedalic Entertainment,7.64,Singleplayer,73.89,English,97.38,Full Xbox Controller Support,58.7,False,98.86,1.49,0.0,100.0,72.04,73.0,10.3,180.99,14.0,100.0,31.91,0.0,100.0,0.68,0.0,100.0,63.67,67.0,100.0,2019.04,2020.0,60.8,0.9,100.0,60.8,56.8,23.6,30.92,12.45,100.0,Indie Adventure,Story-driven indie adventure games,0.5973479755062104,False,3,True,3,False
2,668,Indie,76.01,Indie,76.01,game,100.0,Alawar Casual,2.7,Alawar Casual,5.57,Singleplayer,65.07,English,96.55,Full Xbox Controller Support,48.54,False,97.6,1.91,0.0,100.0,75.75,76.0,4.2,237.24,60.0,100.0,20.24,12.0,100.0,0.38,0.0,100.0,0.44,0.0,100.0,2019.21,2019.0,98.5,15.7,98.1,28.7,20.1,20.4,27.65,18.5,93.3,Indie Puzzle,Logic and puzzle-focused indie titles,0.33092223034639306,True,3,True,1,False
3,629,Indie,78.63,Indie,78.63,game,100.0,LLC,3.03,LLC,3.2,Singleplayer,60.1,English,95.86,Full Xbox Controller Support,47.74,False,96.34,1.83,0.0,100.0,75.81,75.0,2.5,256.37,73.0,100.0,31.25,15.0,100.0,0.45,0.0,100.0,0.59,0.0,100.0,2019.96,2020.0,98.9,18.1,97.9,32.9,19.6,21.8,27.03,18.5,92.8,Indie Story,Narrative-heavy indie experiences,0.31557527504346006,True,3,True,3,True
4,575,Indie,79.44,Indie,79.44,game,100.0,Octo Games,1.74,Octo Games,1.75,Singleplayer,61.39,English,95.99,Full Xbox Controller Support,52.89,False,96.87,2.38,0.0,100.0,74.5,75.0,4.2,260.58,65.0,100.0,65.05,14.0,100.0,0.4,0.0,100.0,0.4,0.0,100.0,2019.83,2020.0,99.1,16.3,97.9,28.2,23.1,20.5,30.13,21.95,95.5,Indie Simulation,Indie simulation and management games,0.27149020008329905,False,3,True,2,False
5,553,Indie,75.23,Indie,75.23,game,99.64,Inc.,1.83,Next Game,2.0,Singleplayer,60.76,English,96.56,Full Xbox Controller Support,52.47,False,96.2,1.99,0.0,100.0,77.55,78.0,6.0,295.08,66.0,100.0,22.92,13.0,100.0,0.5,0.0,100.0,0.51,0.0,100.0,2019.15,2020.0,98.4,17.2,97.5,31.1,19.5,24.2,29.73,18.5,92.0,Indie Strategy,Indie strategy and tactical games,0.37773291699519285,True,3,True,2,True
6,479,Indie,74.69,Indie,74.69,game,100.0,LTD.,3.35,LTD.,3.37,Singleplayer,61.17,English,94.76,Full Xbox Controller Support,43.04,False,96.24,2.29,0.0,100.0,73.5,73.0,1.3,249.22,71.0,100.0,33.38,13.0,100.0,0.36,0.0,100.0,0.63,0.0,100.0,2019.84,2020.5,99.0,23.0,97.9,33.0,19.8,16.7,20.94,14.5,93.7,Indie Horror,Horror and thriller indie games,0.3075453530303079,True,3,True,1,False
7,455,Indie,76.87,Indie,76.87,game,100.0,FreeMind S.A.,2.21,PlayWay S.A.,2.49,Singleplayer,65.71,English,97.35,Full Xbox Controller Support,53.94,False,96.26,1.54,0.0,100.0,76.78,75.0,2.0,244.99,63.0,100.0,21.79,12.0,100.0,0.29,0.0,100.0,0.84,0.0,100.0,2019.53,2019.0,98.7,20.9,96.7,31.4,19.6,16.5,22.9,18.5,90.3,Indie Action,Action-oriented indie titles,0.1921397296008851,True,3,True,0,False
8,392,Indie,84.95,Indie,84.95,game,100.0,Sacada,2.55,Sacada,2.58,Singleplayer,65.31,English,94.39,Full Xbox Controller Support,48.59,False,98.47,1.97,0.0,100.0,79.93,80.0,3.8,239.56,77.5,100.0,93.07,14.0,100.0,0.57,0.0,100.0,0.25,0.0,100.0,2019.77,2020.0,98.5,20.9,97.4,28.8,18.1,18.6,24.42,18.5,93.9,Indie RPG,Indie RPG and character progression games,0.2424242324969602,True,3,True,2,False
9,342,Action,26.47,Action,26.47,game,87.13,LTD.,16.96,LTD.,16.08,Singleplayer,65.79,English,90.35,Partial Xbox Controller Support,37.33,False,99.12,1.68,0.0,100.0,76.97,78.0,11.7,336.97,116.5,100.0,28.96,32.0,100.0,18.58,1.0,100.0,1.44,0.0,100.0,2019.5,2020.0,99.7,0.3,99.7,9.1,4.4,56.1,177.73,169.0,100.0,Action Arcade,Fast-paced arcade action games,0.049119450576045345,False,1,False,3,True
