community_id,size,genres_top,genres_percentage,publishers_top,publishers_percentage,developers_top,developers_percentage,metacritic_score_mean,metacritic_score_median,windows_top,windows_percentage,mac_top,mac_percentage,linux_top,linux_percentage,is_free_top,is_free_percentage,has_dlc_top,has_dlc_percentage
0,127,Indie,72.44,Game Hollywood Games,4.72,Game Hollywood Games,4.72,74.0,74.0,True,99.21,False,71.65,False,84.25,False,67.72,False,84.25
1,921,Indie,36.81,Daedalic Entertainment,4.34,Daedalic Entertainment,1.52,72.383,73.0,True,100.0,True,60.91,True,56.89,False,99.24,False,76.87
2,209,Action,54.07,THQ Nordic,5.74,Rebellion,2.87,54.019,59.0,True,95.69,False,72.25,False,82.78,False,98.09,False,66.51
3,373,Indie,75.34,PlayWay S.A.,2.14,Spiderweb Software,1.88,77.143,75.0,True,96.51,False,69.71,False,80.16,False,77.21,False,83.91
4,455,Indie,78.68,Octo Games,1.98,Octo Games,1.98,74.25,74.5,True,98.46,False,71.87,False,76.7,False,84.18,False,79.12
5,136,Indie,83.09,PlayWay S.A.,4.41,Out of the Park Developments,2.21,72.333,72.0,True,96.32,False,70.59,False,84.56,False,79.41,False,82.35
6,454,Indie,73.79,WayForward,1.76,WayForward,1.76,77.214,76.5,True,97.14,False,68.94,False,79.3,False,83.48,False,75.11
7,249,Indie,82.73,Kagura Games,8.43,Hosted Games,6.02,75.5,74.5,True,97.19,False,67.47,False,72.29,False,82.73,False,83.13
8,502,Indie,77.69,GameHouse,2.39,GameHouse,2.39,75.643,75.0,True,98.01,False,68.53,False,80.48,False,82.27,False,77.29
9,548,Indie,76.46,Alawar Casual,5.47,Alawar Casual,2.55,75.75,76.0,True,97.81,False,70.99,False,80.47,False,84.12,False,80.84
10,371,Indie,73.58,LTD.,2.7,LTD.,2.7,73.5,73.0,True,97.84,False,64.42,False,78.98,False,78.17,False,82.48
11,131,Indie,84.73,Notovia,3.82,Notovia,3.82,76.5,76.5,True,98.47,False,73.28,False,77.86,False,77.86,False,81.68
12,311,Indie,85.21,Sokpop Collective,2.25,Sokpop Collective,2.25,79.727,79.0,True,97.43,False,70.1,False,81.35,False,77.17,False,83.28
13,966,Indie,73.19,Ubisoft,1.45,HeR Interactive,1.14,83.589,84.0,True,97.62,False,69.25,False,79.92,False,83.23,False,77.85
14,278,RPG,26.62,LTD.,16.19,LTD.,17.27,77.0,78.0,True,99.64,False,91.01,False,96.04,False,99.64,True,57.55
15,82,Indie,78.05,Humongous Entertainment,18.29,Humongous Entertainment,18.29,75.2,74.0,True,98.78,False,50.0,False,64.63,False,84.15,False,79.27
